Adjusted_BoxOffice,BoxOffice,NLP_Score,Director,Runtime,Title,Writer,Year,imdbRating,imdbVotes,Internet_Movie_Database,Rotten_Tomatoes,Metacritic,First_actor,Second_actor,Third_actor,Forth_actor,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count
44.82071312771966,34.617915,11.175651908636546,Florent-Emilio Siri,113,Hostage,Robert Crais,2005,6.6,100767,6.6,3.5,4.4,Bruce Willis, Kevin Pollak, Jimmy Bennett, Michelle Horn,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"USA, Germany",2
52.51939681468195,34.60743,9.382970029592505,Milos Forman,118,Man on the Moon,Scott Alexander,1999,7.4,113729,7.4,6.3,5.8,Jim Carrey, Gerry Becker, Greyson Erik Pendry, Brittany Colonna,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UK, Germany, Japan, USA",4
49.65971425157292,33.813823,14.745917734499008,Roger Spottiswoode,123,The 6th Day,Cormac Wibberley,2000,5.9,108289,5.9,4.1,4.9,Arnold Schwarzenegger, Michael Rapaport, Tony Goldwyn, Michael Rooker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"USA, Canada",2
73.99510952921612,34.603943,22.84475089486348,Alan Parker,128,Mississippi Burning,Chris Gerolmo,1988,7.8,75413,7.8,9.0,6.5,Gene Hackman, Willem Dafoe, Frances McDormand, Brad Dourif,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
50.80269258832339,34.592089,10.752238638385522,Roger Donaldson,145,Thirteen Days,David Self,2000,7.3,49567,7.3,8.3,6.7,Shawn Driscoll, Kevin Costner, Drake Cook, Lucinda Jenney,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,USA,1
28.660904555909624,26.863875,7.941398755487404,Anne Fletcher,87,Hot Pursuit,David Feeney,2015,5.1,43559,5.1,0.7,3.1,Reese Witherspoon, Sofía Vergara, Matthew Del Negro, Michael Mosley,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
38.81618381174352,34.522221,4.413350826943165,Alex Kendrick,129,Courageous,Alex Kendrick,2011,7.0,17184,7.0,3.3,4.2,Ken Bevel, Alex Kendrick, Kevin Downes, Renee Jewell,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
47.15120094468884,34.308901,9.361258997879599,John Whitesell,86,Malibu's Most Wanted,Fax Bahr,2003,5.1,17271,5.1,3.1,4.3,Jamie Kennedy, Taye Diggs, Anthony Anderson, Regina Hall,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
63.88428470178461,34.416893,17.20419262455014,Oliver Stone,140,The Doors,Randall Jahnson,1991,7.2,75400,7.2,5.4,6.2,Val Kilmer, Meg Ryan, Kyle MacLachlan, Frank Whaley,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,USA,1
45.696176225723754,34.126138,17.897147683009038,Michel Gondry,108,Eternal Sunshine of the Spotless Mind,Charlie Kaufman,2004,8.3,793843,8.3,9.3,8.9,Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,USA,1
