,BoxOffice,Runtime,Title,Year,imdbVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count,score_of_D,score_of_W,score_of_A
99,159033671.3986993,150,Contact,1997,231681,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,USA,1,0.7972297566108274,0.04582359628324923,2.090845635432589
100,143724092.09027842,136,Vanilla Sky,2001,229864,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"USA, Spain",2,0.3633708471798416,0.14518520626362552,4.348341088341269
101,105915563.10040088,116,Arrival,2016,477184,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"USA, Canada",2,0.30904593555018617,0.07261006840121943,2.706425752505261
102,100478608.0,109,A Wrinkle in Time,2018,28847,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,0.12760514251047955,0.04335685970362156,1.24207533611772
103,122321180.57016912,96,Evan Almighty,2007,129339,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.22655666203541525,0.03752542662793888,2.6797634451083114
104,161460195.03824,91,The Hunchback of Notre Dame,1996,125391,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,USA,1,0.13890687758506354,0.14647458678039088,0.8777127180028383
105,156184204.49331567,93,Hercules,1997,176783,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,USA,1,0.36362435851168157,0.07898516385479791,1.3042554312962529
106,231515050.66701388,154,The Color Purple,1985,74013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,1.454859333535564,0.024265995790025877,2.022309193325592
107,119151559.31409566,95,Meet the Robinsons,2007,79174,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,0.08851137985732183,0.05550956566183672,0.6727164706066207
108,147816601.5249589,78,Inspector Gadget,1999,43589,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,0.0472489806617523,0.013823147814285517,1.7079364322516273
109,114354048.937,140,Public Enemies,2009,257179,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"USA, Japan",2,0.5380005595961527,0.09110004146552542,3.0834849390495656
110,131434587.58727196,154,Cold Mountain,2003,131031,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"UK, Italy, Romania, USA",4,0.23020450146006433,0.02285681432482107,3.5662275492008937
111,32831971.2484,110,Arthur,2011,49281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,0.02805893959910217,0.06585247107466184,2.5133393787556617
